path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_147.15.wav,Common Yellowthroat,Geothlypis trichas,3,4,0.4688362181186676
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_16.950000000000003.wav,House Wren,Troglodytes aedon,0,3,0.7079327702522278
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_165.75.wav,Lesser Goldfinch,Spinus psaltria,0,2,0.8146699070930481
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_196.65.wav,Yellow Warbler,Setophaga petechia,0,2,0.30510592460632324
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_204.25.wav,Yellow Warbler,Setophaga petechia,0,3,0.5266616344451904
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_208.65.wav,Yellow Warbler,Setophaga petechia,0,3,0.42143329977989197
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_214.75.wav,Yellow Warbler,Setophaga petechia,0,3,0.3020542860031128
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_223.65.wav,Yellow Warbler,Setophaga petechia,3,5,0.3163979947566986
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_229.05.wav,Yellow Warbler,Setophaga petechia,3,6,0.2846713662147522
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_23.25.wav,House Wren,Troglodytes aedon,3,6,0.5936644077301025
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_260.45.wav,American Pipit,Anthus rubescens,0,3,0.2522987723350525
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_286.55.wav,Lazuli Bunting,Passerina amoena,0,3,0.2981838881969452
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_31.450000000000003.wav,Nashville Warbler,Leiothlypis ruficapilla,0,2,0.454657644033432
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_33.45.wav,House Wren,Troglodytes aedon,0,3,0.8928951621055603
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_43.85.wav,House Wren,Troglodytes aedon,3,6,0.3889467418193817
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_55.050000000000004.wav,House Wren,Troglodytes aedon,3,6,0.3410273790359497
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_6.5500000000000025.wav,House Wren,Troglodytes aedon,0,1,0.3269980847835541
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_69.75.wav,House Wren,Troglodytes aedon,0,3,0.7619044780731201
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_73.75.wav,House Wren,Troglodytes aedon,3,4,0.35020607709884644
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_78.45.wav,Lesser Goldfinch,Spinus psaltria,0,3,0.6029418110847473
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_8.45.wav,House Wren,Troglodytes aedon,0,3,0.4083860218524933
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_84.45.wav,Yellow Warbler,Setophaga petechia,0,3,0.38536903262138367
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_90.85000000000001.wav,Yellow Warbler,Setophaga petechia,0,2,0.36194881796836853
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210419_065000_93.25.wav,Yellow Warbler,Setophaga petechia,3,6,0.5954110622406006
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_103.75.wav,House Wren,Troglodytes aedon,0,3,0.4739706814289093
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_114.45.wav,Yellow Warbler,Setophaga petechia,0,3,0.3452628254890442
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_135.55.wav,Nuttall's Woodpecker,Dryobates nuttallii,0,3,0.2873949706554413
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_142.15.wav,House Wren,Troglodytes aedon,0,3,0.3787630498409271
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_145.85.wav,Yellow Warbler,Setophaga petechia,0,3,0.3907424807548523
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_153.25.wav,Nuttall's Woodpecker,Dryobates nuttallii,0,3,0.7192285060882568
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_159.35.wav,House Wren,Troglodytes aedon,0,3,0.33330443501472473
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_16.150000000000002.wav,House Wren,Troglodytes aedon,0,2,0.7350428700447083
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_166.55.wav,Yellow Warbler,Setophaga petechia,0,2,0.275940865278244
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_168.95.wav,House Wren,Troglodytes aedon,0,3,0.3400834798812866
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_178.35.wav,House Wren,Troglodytes aedon,0,3,0.4316409230232239
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_18.35.wav,House Wren,Troglodytes aedon,3,6,0.8402756452560425
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_186.25.wav,Wrentit,Chamaea fasciata,0,2,0.6182401180267334
D:/uwin_sounds/split_audio\OCCA\Jordan_Rodriguez_-_IRC02\20210420_065000_194.25.wav,House Wren,Troglodytes aedon,0,3,0.5771264433860779
