site,city,LocationName.geometry1,LocationName.geometry2,water,trees,grass,flooded.vegetation,crops,scrub.shrub,built.area,bare.ground,snow.ice,clouds,green.space,city,easting,northing,utm.zone,longitude,latitude
PCYN01,Orange County,c(-117.7631106, 33.78434834),0.032054751,0.012318956,0.008785612,0,0,0.354798663,0.590896069,0.001145949,0,0,0.375903231,Orange County,429350,3738507,11N,-117.7631106,33.78434834
PWETZ02,Orange County,c(-117.7770381, 33.78848227),0,0,0.011233095,0,0.000159109,0.030039777,0.958568019,0,0,0,0.041272872,Orange County,428064,3738975,11N,-117.7770381,33.78848227
01_PHAZ_V01,Phoenix,c(-111.8751934, 33.43673943),0.07675655,0.000222852,0.034924071,0.03390532,0.001878323,0.251217726,0.560217758,0.0408774,0,0,0.286364649,Phoenix,418647,3700048,12N,-111.8751934,33.43673943
02_PHAZ_V10,Phoenix,c(-112.0459485, 33.41707182),0,0.001177369,0.000318208,0,0.001241011,0.153853497,0.823490104,0.019919812,0,0,0.155349074,Phoenix,402752,3698014,12N,-112.0459485,33.41707182
04_PHAZ_V12,Phoenix,c(-112.0793766, 33.41980686),0,0.043295556,0,0,0,0.16181714,0.753374507,0.041512798,0,0,0.205112696,Phoenix,399647,3698349,12N,-112.0793766,33.41980686
05_PHAZ_V13,Phoenix,c(-112.0897659, 33.41375438),0.016868774,0.027244661,0,0,0,0.400617461,0.507209014,0.048060091,0,0,0.427862122,Phoenix,398674,3697688,12N,-112.0897659,33.41375438
06_PHAZ_V14,Phoenix,c(-112.1005945, 33.41110637),0.004296079,0.003341395,0,0,0.001622963,0.241726069,0.727724033,0.02128946,0,0,0.245067464,Phoenix,397664,3697405,12N,-112.1005945,33.41110637
07_PHAZ_N08,Phoenix,c(-112.1523502, 33.40835458),0.029855497,0.025908715,0.000986696,0,0.01260424,0.385925266,0.493761538,0.05095805,0,0,0.412820676,Phoenix,392848,3697152,12N,-112.1523502,33.40835458
08_PHAZ_V15,Phoenix,c(-112.2235871, 33.39101436),0.066912724,0.000190906,0.014477075,0.016195234,0.053008368,0.27395081,0.485602469,0.089662414,0,0,0.288618792,Phoenix,386201,3695305,12N,-112.2235871,33.39101436
09_PHAZ_V16,Phoenix,c(-112.2435679, 33.38982364),0.013586178,0.007986255,0,0.00989532,0.107575806,0.519202011,0.339559006,0.002195425,0,0,0.527188266,Phoenix,384341,3695195,12N,-112.2435679,33.38982364
10_PHAZ_V17,Phoenix,c(-112.2579077, 33.38965204),0.218037693,0.013657201,0.001750923,0.007003693,0.021297593,0.464185662,0.271456768,0.002610467,0,0,0.479593786,Phoenix,383007,3695192,12N,-112.2579077,33.38965204
SLC_01,Salt Lake City,c(-111.9370047, 40.80739688),0.010054728,0,0.241695304,0,0,0.05262823,0.69533537,0.000286369,0,0,0.294323533,Salt Lake City,420967,4517799,12T,-111.9370047,40.80739688
SLC_03,Salt Lake City,c(-111.9090037, 40.66399865),0,0,0.013275181,0,0,3.18E-05,0.986692984,0,0,0,0.013307016,Salt Lake City,423164,4501856,12T,-111.9090037,40.66399865
SLC_04,Salt Lake City,c(-111.9290085, 40.70999923),0.006682152,0,0.068444331,0,0.000763675,0.080440386,0.840169281,0.003500175,0,0,0.148884717,Salt Lake City,421527,4506980,12T,-111.9290085,40.70999923
SLC_05,Salt Lake City,c(-111.921001, 40.68559621),0.003437629,0.004233377,0.237228252,0,0,0.060508642,0.6945921,0,0,0,0.301970271,Salt Lake City,422175,4504264,12T,-111.921001,40.68559621
SLC_06,Salt Lake City,c(-111.9200137, 40.60082396),0.010665054,9.55E-05,0.09101907,0,0.119162077,0.144025978,0.559358187,0.075674127,0,0,0.235140556,Salt Lake City,422160,4494853,12T,-111.9200137,40.60082396
SLC_07,Salt Lake City,c(-111.9180057, 40.59659685),0.010663017,9.55E-05,0.10287424,0,0.094853105,0.139064838,0.604163351,0.04828596,0,0,0.242034567,Salt Lake City,422325,4494382,12T,-111.9180057,40.59659685
SLC_08,Salt Lake City,c(-111.9150093, 40.59179197),0.010665054,0,0.152398841,0,0.008850403,0.081913979,0.726910955,0.019260769,0,0,0.23431282,Salt Lake City,422573,4493846,12T,-111.9150093,40.59179197
AM01 TUW12,Toronto,c(-79.40709997, 43.66071999),0,0,0,0,0,0,0.997580851,0,0,0,0,Toronto,628435.64,4835423.62,17T,-79.40709997,43.66071999
AM06 TUW41,Toronto,c(-79.28389998, 43.67040998),0.507782411,0,0,0,0,0,0.492217589,0,0,0,0,Toronto,638347.14,4836697.92,17T,-79.28389998,43.67040998
AM08 TUW10,Toronto,c(-79.42450005, 43.66368999),0,0,0,0,0,0,0.997454013,0,0,0,0,Toronto,627026.39,4835726.69,17T,-79.42450005,43.66368999
TUW14,Toronto,c(-79.39340005, 43.66271003),0,0,0,0,0,0,1,0,0,0,0,Toronto,629536,4835665.94,17T,-79.39340005,43.66271003
TUW31,Toronto,c(-79.38469994, 43.68326997),0,0.032337121,0,0,0,0,0.95986505,0,0,0,0.032337121,Toronto,630193.01,4837963.02,17T,-79.38469994,43.68326997
W02-ASP6,Wilmington,c(-75.55796306, 39.77015473),0.004902117,0.421741206,0.018971829,0,0,0,0.554384848,0,0,0,0.440713035,Wilmington,452213,4402396,18,-75.55796306,39.77015473
W02-SMP3,Wilmington,c(-75.67436483, 39.65077412),0.027791927,0.242646123,0.00025468,0,0,0,0.729307271,0,0,0,0.242900802,Wilmington,442144,4389215,18,-75.67436483,39.65077412
W03-MRP1,Wilmington,c(-75.52686794, 39.76836288),0,0.0091965,0.020079554,0,0,0,0.970723946,0,0,0,0.029276054,Wilmington,454875,4402181,18,-75.52686794,39.76836288
