path,mean_dB
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_269.55.wav,106.5742289
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_276.55.wav,104.3046778
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_28.45.wav,106.0428145
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_281.05.wav,103.0953985
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_285.15.wav,105.3851777
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_291.15.wav,103.5317978
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_295.15.wav,104.4133805
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_35.25.wav,104.2800839
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_39.15.wav,105.5959418
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_43.45.wav,108.6409639
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_5.150000000000002.wav,104.2345561
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_52.150000000000006.wav,105.9799119
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_56.95.wav,104.9050705
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_61.050000000000004.wav,103.5071646
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_63.85.wav,105.4622997
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_68.25.wav,107.1962879
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_74.95.wav,105.6765756
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_80.15.wav,105.8138953
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_85.85000000000001.wav,105.1617063
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_90.85000000000001.wav,103.7809519
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_94.85.wav,103.5183408
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_98.35.wav,106.4581813
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_0.wav,89.09900477
