path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_153.25\20210424_052500_153.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9690379500389099
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_153.25\20210424_052500_153.25.wav,Lucy's Warbler,Leiothlypis luciae,3,5,0.9933905601501465
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_158.25\20210424_052500_158.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9809930324554443
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_158.25\20210424_052500_158.25.wav,Mourning Dove,Zenaida macroura,3,6,0.9950974583625793
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_165.15\20210424_052500_165.15.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9977476000785828
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_165.15\20210424_052500_165.15.wav,Abert's Towhee,Melozone aberti,3,5,0.5418526530265808
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_17.150000000000002\20210424_052500_17.150000000000002.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.761968731880188
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_170.55\20210424_052500_170.55.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9941230416297913
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_173.85\20210424_052500_173.85.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9835293292999268
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_173.85\20210424_052500_173.85.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.9741929769515991
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_180.65\20210424_052500_180.65.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9755281805992126
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_180.65\20210424_052500_180.65.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.9860471487045288
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_186.85\20210424_052500_186.85.wav,Abert's Towhee,Melozone aberti,0,1,0.938323974609375
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_188.55\20210424_052500_188.55.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.923956573009491
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_188.55\20210424_052500_188.55.wav,Lucy's Warbler,Leiothlypis luciae,3,6,0.9727815985679626
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_195.35\20210424_052500_195.35.wav,Mourning Dove,Zenaida macroura,0,3,0.990390419960022
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_199.25\20210424_052500_199.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9913852214813232
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_20.950000000000003\20210424_052500_20.950000000000003.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9873273968696594
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_20.950000000000003\20210424_052500_20.950000000000003.wav,Mourning Dove,Zenaida macroura,3,6,0.9818628430366516
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_203.25\20210424_052500_203.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9542193412780762
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_203.25\20210424_052500_203.25.wav,Anna's Hummingbird,Calypte anna,6,8,0.7137283682823181
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_203.25\20210424_052500_203.25.wav,Abert's Towhee,Melozone aberti,3,6,0.8548873662948608
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_212.05\20210424_052500_212.05.wav,Abert's Towhee,Melozone aberti,0,2,0.9741243124008179
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_214.05\20210424_052500_214.05.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9754461050033569
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_214.05\20210424_052500_214.05.wav,Mourning Dove,Zenaida macroura,3,6,0.9285256266593933
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_214.05\20210424_052500_214.05.wav,Mourning Dove,Zenaida macroura,6,7,0.9676386117935181
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_221.85\20210424_052500_221.85.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.8463935256004333
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_225.55\20210424_052500_225.55.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9822522401809692
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_225.55\20210424_052500_225.55.wav,White-winged Dove,Zenaida asiatica,3,5,0.7349026203155518
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_230.65\20210424_052500_230.65.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.8128117322921753
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_234.05\20210424_052500_234.05.wav,Mourning Dove,Zenaida macroura,0,3,0.966915488243103
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_234.05\20210424_052500_234.05.wav,Mourning Dove,Zenaida macroura,3,5,0.997079610824585
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_239.35\20210424_052500_239.35.wav,Abert's Towhee,Melozone aberti,0,3,0.9754882454872131
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_246.55\20210424_052500_246.55.wav,Mourning Dove,Zenaida macroura,0,3,0.988140344619751
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_246.55\20210424_052500_246.55.wav,Mourning Dove,Zenaida macroura,3,4,0.7670234441757202
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_253.75\20210424_052500_253.75.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.8396374583244324
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_258.45\20210424_052500_258.45.wav,Mourning Dove,Zenaida macroura,0,3,0.9406781196594238
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_258.45\20210424_052500_258.45.wav,Mourning Dove,Zenaida macroura,3,5,0.9585164189338684
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_26.950000000000003\20210424_052500_26.950000000000003.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9983080625534058
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_264.25\20210424_052500_264.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.8475433588027954
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_264.25\20210424_052500_264.25.wav,Wilson's Warbler,Cardellina pusilla,3,5,0.8171340227127075
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_270.05\20210424_052500_270.05.wav,Mourning Dove,Zenaida macroura,0,3,0.9320986270904541
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_270.05\20210424_052500_270.05.wav,Mourning Dove,Zenaida macroura,3,6,0.9931446313858032
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_276.75\20210424_052500_276.75.wav,Wilson's Warbler,Cardellina pusilla,0,2,0.8514744639396667
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_279.25\20210424_052500_279.25.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.5480049252510071
D:/uwin_sounds/split_audio/output\PHAZ\Jesse_-_09_PHAZ_V16\20210424_052500_283.45\20210424_052500_283.45.wav,Lucy's Warbler,Leiothlypis luciae,0,3,0.9981849789619446
